Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Classification,average_price_usd_2020
5 Series,2016,Asia,Red,Petrol,Manual,3.5,151748,98740,High,37375.0
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265,Low,31405.0
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971,Low,40699.0
7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898,Low,98228.0
5 Series,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926,Low,30985.0
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778,Low,108255.0
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482,High,42091.0
i8,2019,Europe,White,Electric,Manual,3.0,35700,96257,Low,150604.0
3 Series,2012,Middle East,White,Electric,Manual,2.4,101595,117995,Low,35358.0
i8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539,High,154456.0
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015,High,97101.0
5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486,Low,32798.0
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078,High,38051.0
M3,2014,North America,Silver,Hybrid,Manual,3.0,154050,94997,High,73240.0
X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844,Low,59601.0
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934,High,114988.0
5 Series,2017,North America,Silver,Electric,Manual,3.1,57843,111326,Low,31003.0
X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677,High,57802.0
X3,2015,North America,Red,Diesel,Automatic,3.7,123910,88091,High,40856.0
X1,2014,Africa,White,Petrol,Manual,4.8,13568,62941,Low,36430.0
M5,2011,Europe,Grey,Electric,Automatic,3.3,78042,49507,High,114018.0
7 Series,2017,North America,Black,Petrol,Automatic,3.2,58288,101791,High,87361.0
X5,2021,South America,Red,Diesel,Manual,2.2,184981,47527,Low,55368.0
X3,2023,Middle East,White,Electric,Automatic,4.1,194398,85370,Low,43503.0
